Symbol,Name,Exchange,Industry,SIC Description
COR,Cencora Inc,NYSE,Medical Services,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists"
COST,Costco Wholesale,NASDAQ,Retail - Discount,SIC-5331 Retail-Variety Stores
COTY,Coty Inc,NYSE,Cosmetics & Toiletries,"SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati"
CPAY,Corpay Inc,NYSE,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC"
CPB,Campbell Soup Company,NASDAQ,Food - Misc & Diversified,SIC-2000 Food and Kindred Products
CPNG,Coupang Inc Cl A,NYSE,Internet Commerce,SIC-5961 Retail-Catalog & Mail-Order Houses
CPRI,Capri Holdings Ltd,NYSE,Retail - Apparel & Shoes,SIC-3100 Leather & Leather Products
CPRT,Copart Inc,NASDAQ,Auction Valuation Services,SIC-5500 Retail-Auto Dealers & Gasoline Stations
CPT,Camden Property Trust,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
CR,Crane Company,NYSE,Machinery - General Industrial,SIC-1311 Crude Petroleum & Natural Gas
CRH,CRH Plc ADR,NYSE,Building & Construction - Misc,"SIC-3241 Cement, Hydraulic"
CRI,Carter's Inc,NYSE,Shoes and Related Apparel,SIC-2300 Apparel & Other Finished Prods of Fabrics &
CRL,Charles River Laboratories Intl,NYSE,Medical Services,SIC-8731 Services-Commercial Physical & Biological Re
CRM,Salesforce Inc,NYSE,Computer - Software,SIC-7372 Services-Prepackaged Software
CROX,Crocs Inc,NASDAQ,Textile - Apparel,SIC-3021 Rubber & Plastics Footwear
CRUS,Cirrus Logic Inc,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
CRWD,Crowdstrike Holdings Inc,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
CSCO,Cisco Systems Inc,NASDAQ,Computer - Networks,SIC-3576 Computer Communications Equipment
CSGP,Costar Group Inc,NASDAQ,IT Services,"SIC-7389 Services-Business Services, NEC"
CSL,Carlisle Companies Inc,NYSE,Conglomerates - Div Operations,"SIC-3060 Fabricated Rubber Products, NEC"
CSX,CSX Corp,NASDAQ,Transportation - Rail,"SIC-4011 Railroads, Line-Haul Operating"
CTAS,Cintas Corp,NASDAQ,Uniform & Related,"SIC-2320 Mens & Boys Furnishings, Work Clothg, & Alli"
CTLT,Catalent Inc,NYSE,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
CTRA,Coterra Energy Inc,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
CTSH,Cognizant Tech Sol,NASDAQ,Business Software Services,SIC-7371 Services-Computer Programming Services
CTVA,Corteva Inc,NYSE,Agriculture Operations,SIC-0100 Agricultural Production - Crops
CUBE,Cubesmart,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
CUZ,Cousins Properties Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
CVNA,Carvana Company Cl A,NYSE,Internet Commerce,SIC-5500 Retail-Auto Dealers & Gasoline Stations
CVS,CVS Corp,NYSE,Retail - Drug Stores,SIC-5912 Retail-Drug Stores and Proprietary Stores
CVX,Chevron Corp,NYSE,Oil - International Integrated,SIC-2911 Petroleum Refining
CW,Curtiss-Wright Corp,NYSE,Aerospace - Defense Equipment,SIC-3590 Misc Industrial & Commercial Machinery & Equ
CWEN-A,Clearway Energy Inc [Cwen.A],NYSE,N/A,
CWEN,Clearway Energy Inc Cl C,NYSE,Other Alt Energy,SIC-4911 Electric Services
CXT,Crane Nxt CO,NYSE,Technology Services,SIC-3490 Miscellaneous Fabricated Metal Products
CZR,Caesars Entertainment Inc,NASDAQ,Leisure & Recreation Services,SIC-7011 Hotels & Motels
D,Dominion Energy Inc,NYSE,Utility - Electric Power,SIC-4911 Electric Services
DAL,Delta Air Lines Inc,NYSE,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled"
DAR,Darling International Inc,NYSE,Food - Misc & Diversified,SIC-2070 Fats & Oils
DASH,Doordash Inc Cl A,NASDAQ,Internet - Services,"SIC-7389 Services-Business Services, NEC"
DAY,Dayforce Inc,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
DBX,Dropbox Inc,NASDAQ,Internet - Services,SIC-7372 Services-Prepackaged Software
DCI,Donaldson Company,NYSE,Pollution Controls,SIC-3564 Industrial & Commercial Fans & Blowers & Air
DD,Dupont Denemours Inc,NYSE,Chemical - Diversified,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
DDOG,Datadog Inc Cl A,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
DDS,Dillard's,NYSE,Retail - Regional Dept Stores,SIC-5311 Retail-Department Stores
DE,Deere & Company,NYSE,Machinery - Farm,SIC-3523 Farm Machinery & Equipment
DECK,Deckers Outdoor Corp,NYSE,Retail - Apparel & Shoes,SIC-3021 Rubber & Plastics Footwear
DELL,Dell Technologies Inc,NYSE,Computer - Micro,SIC-3571 Electronic Computers
DFS,Discover Financial Services,NYSE,Finance - Consumer Loans,SIC-6141 Personal Credit Institutions
DG,Dollar General Corp,NYSE,Retail - Discount,SIC-5331 Retail-Variety Stores
DGX,Quest Diagnostics Inc,NYSE,Medical - Outpatient & Hm Care,SIC-8071 Services-Medical Laboratories
DHI,D.R. Horton,NYSE,Building - Residential & Comm,SIC-1531 Operative Builders
